full_part_number,section,subsection,position_details
,High Density,Overall Dimensions,Pos1(): Fixed value
"77SDEHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDAGno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDAGno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDAGno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDAGVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDAGVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDAGVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDAGVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDAGVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDAGVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDAGVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDAGVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(A): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBHno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBHno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBHno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBHVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBHVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBHVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBHVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBHVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBHVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBHVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBHVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBGno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBGno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBGno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBGno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBGVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBGVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBGVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBGVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBGVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBGVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDBGVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDBGVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(B): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCHno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCHno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCHno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCHVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCHVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCHVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCHVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCHVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCHVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCHVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCHVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCGno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCGno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCGno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCGno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCGVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCGVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCGVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCGVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCGVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCGVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDCGVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDCGVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(C): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDHno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDHno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDHno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDHVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDHVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDHVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDHVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDHVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDHVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDHVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDHVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDGno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDGno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDGno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDGno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDGVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDGVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDGVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDGVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDGVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"177SDDGVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"177SDDGVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(177): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(D): Shell size | Pos5(G): Rear insert M3 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
